brand,model,processor_brand,processor_name,processor_generation,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,touchscreen,microsoft_office,latest_price,old_price,discount,star_rating,ratings,reviews,latest_price_myr,old_price_myr,discount_myr,total_storage_gb,storage_type,performance_category,price_category,brand_popularity,value_score
Lenovo,A6-9225,AMD,A6-9225 Processor,10th,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,15.6,0,False,False,24990,32790,23,3.7,63,12,1209.52,1587.04,23.79,1024,HDD,Basic,Budget,145,0.19272107943647068
Avita,PURA,AMD,APU Dual,10th,4,DDR4,128,0,Windows,64-bit,0,ThinNlight,15.6,0,False,False,21490,27990,23,3.7,1153,159,1040.12,1354.72,23.22,128,SSD,Basic,Budget,8,4.10154597546437
Avita,PURA,AMD,APU Dual,10th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,0,False,False,24990,33490,25,3.7,1657,234,1209.52,1620.92,25.38,256,SSD,Basic,Budget,8,5.068870295654475
Avita,PURA,AMD,APU Dual,10th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14.0,0,False,False,24990,33490,25,3.7,1657,234,1209.52,1620.92,25.38,256,SSD,Medium,Budget,8,5.068870295654475
HP,APU,AMD,APU Dual,10th,4,DDR4,0,1024,Windows,32-bit,0,Casual,14.0,0,False,False,20900,22825,8,3.9,1185,141,1011.56,1104.73,8.43,1024,HDD,Basic,Budget,142,4.568685989956108
Lenovo,APU,AMD,APU Dual,10th,4,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,0,False,False,21896,0,0,3.9,219,18,1059.77,0.0,-inf,1024,HDD,Basic,Budget,145,0.805929588495617
HP,Athlon,AMD,Athlon Dual,10th,32,DDR4,32,0,Windows,32-bit,4,Casual,14.0,0,False,False,26899,27668,2,0.0,0,0,1301.91,1339.13,2.78,32,SSD,High,Budget,142,0.0
acer,Aspire,AMD,Athlon Dual,10th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,1,False,False,31990,36990,13,4.2,76,13,1548.32,1790.32,13.52,256,SSD,Basic,Budget,58,0.20615893355378734
ASUS,ExpertBook,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,0,False,False,34649,41990,17,2.3,3,0,1677.01,2032.32,17.48,1024,HDD,Basic,Budget,242,0.004114465626323039
Lenovo,Unknown,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,0,False,False,38999,42705,8,3.8,65,5,1887.55,2066.92,8.68,1024,HDD,Basic,Budget,145,0.1308574607295171
Lenovo,v15,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,0,False,False,39999,43999,9,3.1,8,1,1935.95,2129.55,9.09,1024,HDD,Basic,Budget,145,0.012810248198558848
ASUS,ExpertBook,Intel,Core i5,10th,8,DDR4,512,0,Windows,32-bit,2,Casual,15.6,0,False,False,69990,0,0,0.0,0,0,3387.52,0.0,-inf,512,SSD,Medium,Mid-range,242,0.0
ASUS,VivoBook,Intel,Celeron Dual,Unknown,4,DDR4,0,512,Windows,64-bit,0,Casual,15.6,0,False,False,26990,28990,6,0.0,0,0,1306.32,1403.12,6.9,512,HDD,Basic,Budget,242,0.0
ASUS,EeeBook,Intel,Celeron Dual,Unknown,4,DDR4,0,512,Windows,64-bit,0,Casual,15.6,0,False,False,22990,27990,17,0.0,0,0,1112.72,1354.72,17.86,512,HDD,Basic,Budget,242,0.0
ASUS,EeeBook,Intel,Celeron Dual,Unknown,4,DDR4,0,512,Windows,32-bit,0,Casual,15.6,0,False,False,21990,25990,15,3.5,31,3,1064.32,1257.92,15.39,512,HDD,Basic,Budget,242,0.10194302465423934
ASUS,ExpertBook,Intel,Core i5,10th,8,DDR4,0,1024,Windows,32-bit,2,Casual,14.0,0,False,False,58799,77990,24,0.0,0,0,2845.87,3774.72,24.61,1024,HDD,Medium,Mid-range,242,0.0
Lenovo,Unknown,Intel,Core i5,10th,4,DDR4,0,1024,Windows,32-bit,0,Casual,14.0,0,False,False,49999,59000,15,0.0,0,0,2419.95,2855.6,15.26,1024,HDD,Medium,Mid-range,145,0.0
acer,Aspire,AMD,Ryzen,10th,4,DDR4,0,512,Windows,32-bit,4,Casual,15.6,0,False,False,54990,89000,38,4.5,3190,414,2661.52,4307.6,38.21,512,HDD,Basic,Mid-range,58,5.39353452162674
acer,Nitro,AMD,Ryzen 5,10th,4,DDR4,0,512,Windows,32-bit,4,Casual,15.6,0,False,False,59990,99999,40,4.5,1946,240,2903.52,4839.95,40.01,512,HDD,Medium,Mid-range,58,3.0159943792362376
acer,Nitro,AMD,Ryzen 5,10th,4,DDR4,0,512,Windows,32-bit,6,Casual,15.6,0,False,False,93700,139000,32,4.5,259,47,4535.08,6727.6,32.59,512,HDD,Medium,High-end,58,0.2569965689690149
acer,Nitro,AMD,Ryzen 5,10th,4,DDR4,0,512,Windows,32-bit,4,Casual,15.6,0,False,False,72990,99999,27,4.5,425,67,3532.72,4839.95,27.01,512,HDD,Medium,Mid-range,58,0.5413675581421681
ASUS,ExpertBook,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,0,False,False,35990,42990,16,0.0,0,0,1741.92,2080.72,16.28,256,SSD,Basic,Budget,242,0.0
HP,x360,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,Casual,14.0,1,True,False,56490,64923,12,0.0,0,0,2734.12,3142.27,12.99,256,SSD,Medium,Mid-range,142,0.0
